"","year","airport","airport_name","state","region","latitude","longitude","delay_type","delay_prop","delay_curr","delay_trend","delay_likely","delay_comp"
"151",2008,"MDW","Chicago, IL: Chicago Midway International","IL","Mid West",41.785972,-87.752417,"Air Carrier",0.0368073059360731,18,"increased","Previous Flight","better"
"152",2008,"MIA","Miami, FL: Miami International","FL","South",25.79325,-80.290556,"Air Carrier",0.0775198938992042,20,"decreased","NAS","worse"
"153",2008,"MSP","Minneapolis, MN: Minneapolis-St Paul International","MN","Mid West",44.881956,-93.221767,"Air Carrier",0.0517724063842848,18,"decreased","NAS","better"
"154",2008,"ORD","Chicago, IL: Chicago O'Hare International","IL","Mid West",41.978603,-87.904842,"Air Carrier",0.0419377832056887,23,"decreased","NAS","worse"
"155",2008,"PDX","Portland, OR: Portland International","OR","West",45.588722,-122.5975,"Air Carrier",0.0618477997856822,16,"decreased","Previous Flight","better"
"156",2008,"PHL","Philadelphia, PA: Philadelphia International","PA","North East",39.871944,-75.241139,"Air Carrier",0.0482098464416867,22,"decreased","NAS","worse"
"157",2008,"PHX","Phoenix, AZ: Phoenix Sky Harbor International","AZ","West",33.434278,-112.011583,"Air Carrier",0.0533545452721948,17,"decreased","Previous Flight","better"
"158",2008,"SAN","San Diego, CA: San Diego International","CA","West",32.733556,-117.189667,"Air Carrier",0.0583665066666667,19,"generally remained steady","Previous Flight","worse"
"159",2008,"SEA","Seattle, WA: Seattle/Tacoma International","WA","West",47.449,-122.309306,"Air Carrier",0.0629714416685767,15,"decreased","Previous Flight","worse"
"160",2008,"SFO","San Francisco, CA: San Francisco International","CA","West",37.618972,-122.374889,"Air Carrier",0.056878694541859,22,"increased","NAS","worse"
"161",2008,"SLC","Salt Lake City, UT: Salt Lake City International","UT","West",40.788389,-111.977772,"Air Carrier",0.0409332240413584,13,"decreased","Previous Flight","better"
"162",2008,"TPA","Tampa, FL: Tampa International","FL","South",27.975472,-82.53325,"Air Carrier",0.0596581852605186,19,"generally remained steady","Previous Flight","worse"
"163",2009,"ATL","Atlanta, GA: Hartsfield-Jackson Atlanta International","GA","South",33.636719,-84.428067,"Air Carrier",0.0368561907215511,16,"decreased","NAS","worse"
